hidden_size,output_size,num_layers,learning_rate,batch_size,num_simulations,mse,posterior_mean,posterior_std,squared_errors
64,16,2,0.0001,128,1000,0.03804725408554077,"[-1.0345278978347778, -1.0087275505065918, -1.0021439790725708, -36.30324172973633, 0.0009233811870217323, -0.04125627875328064, -0.7280644774436951, -0.984067440032959]","[0.45786044001579285, 0.47194185853004456, 0.4631102979183197, 1.0314096212387085, 0.45909982919692993, 0.2496989369392395, 0.3140656054019928, 0.4555586874485016]","[0.09736139327287674, 0.10155211389064789, 0.019865212962031364, 0.00043859618017449975, 0.011443997733294964, 0.021449439227581024, 0.05201340466737747, 0.0002538464614190161]"
64,16,2,0.0001,256,1000,0.12782634794712067,"[-0.9958915710449219, -1.0023398399353027, -1.004573106765747, -35.42341613769531, -0.004189194645732641, -0.016907518729567528, -0.7368646860122681, -1.0197240114212036]","[0.47062212228775024, 0.47002851963043213, 0.4686535596847534, 6.976895809173584, 0.4804089367389679, 0.4641386866569519, 0.34939438104629517, 0.46172091364860535]","[0.07474293559789658, 0.10566408932209015, 0.020555855706334114, 0.7376798391342163, 0.012563987635076046, 0.01491024624556303, 0.0561048798263073, 0.0003890366351697594]"
64,16,2,0.0005,64,1000,0.0405157245695591,"[-1.0143241882324219, -0.9906188249588013, -1.0074344873428345, -36.09567642211914, 0.008446999825537205, -0.04368482530117035, -0.693015992641449, -1.0041927099227905]","[0.4658295810222626, 0.4726611375808716, 0.4689392149448395, 1.0109997987747192, 0.4562082588672638, 0.2755894362926483, 0.3198414444923401, 0.454900860786438]","[0.08516134321689606, 0.11342153698205948, 0.021384533494710922, 0.034828003495931625, 0.009890899993479252, 0.022166693583130836, 0.037255171686410904, 1.757881727826316e-05]"
64,16,2,0.0005,128,1000,0.05811014026403427,"[-1.0281195640563965, -0.9799625277519226, -1.0046480894088745, -35.930320739746094, -0.007737739942967892, -0.06933517754077911, -0.7484700679779053, -1.0269631147384644]","[0.4663620591163635, 0.4751397967338562, 0.4640505611896515, 1.0159549713134766, 0.4530803859233856, 0.24963980913162231, 0.3370106518268585, 0.46618208289146423]","[0.09340330213308334, 0.1207127720117569, 0.020577361807227135, 0.12388872355222702, 0.01337208691984415, 0.030462531372904778, 0.06173737347126007, 0.0007270095520652831]"
64,16,2,0.0005,256,1000,0.06390338391065598,"[-1.014788031578064, -0.9747129678726196, -0.9974589347839355, -35.82646560668945, -0.005856591276824474, -0.03677479177713394, -0.7047590017318726, -0.9943047165870667]","[0.4655751883983612, 0.4676135778427124, 0.4630492031574249, 0.9970808625221252, 0.4548550248146057, 0.25967472791671753, 0.3320203125476837, 0.46668264269828796]","[0.0854322761297226, 0.12438812106847763, 0.01856650412082672, 0.20778411626815796, 0.012940561398863792, 0.020156841725111008, 0.041926249861717224, 3.2436251785838977e-05]"
64,16,2,0.001,64,1000,0.04685581102967262,"[-1.0183544158935547, -0.9927502870559692, -0.9999321699142456, -36.020530700683594, 0.003743298351764679, -0.0719870775938034, -0.7066100239753723, -1.0512386560440063]","[0.4644361734390259, 0.4759896993637085, 0.4665576219558716, 1.0038648843765259, 0.45648467540740967, 0.2593839168548584, 0.31990864872932434, 0.4606266915798187]","[0.08752982318401337, 0.11199040710926056, 0.019246621057391167, 0.06852266192436218, 0.010848619043827057, 0.031395263969898224, 0.04268770292401314, 0.0026253999676555395]"
64,16,2,0.001,128,1000,0.040024496614933014,"[-1.022027611732483, -0.9961365461349487, -1.0075428485870361, -36.147762298583984, 0.008186014369130135, -0.038879942148923874, -0.7225341200828552, -1.0316860675811768]","[0.46061971783638, 0.47790393233299255, 0.4623158872127533, 1.0247055292129517, 0.45412886142730713, 0.23999258875846863, 0.32320305705070496, 0.45282623171806335]","[0.08971677720546722, 0.10973545908927917, 0.021416235715150833, 0.018100135028362274, 0.009942879900336266, 0.02075902931392193, 0.04952143505215645, 0.0010040068300440907]"
64,16,2,0.001,256,1000,0.03937214985489845,"[-1.0111397504806519, -0.9972244501113892, -1.005083680152893, -36.13188171386719, -0.0033250704873353243, -0.04602757841348648, -0.7070096135139465, -1.0350255966186523]","[0.45979583263397217, 0.4753928780555725, 0.4650963842868805, 1.0430948734283447, 0.45656129717826843, 0.24663497507572174, 0.3308471739292145, 0.45230990648269653]","[0.08331289142370224, 0.10901587456464767, 0.02070252038538456, 0.02262537181377411, 0.01237101573497057, 0.022869780659675598, 0.0428529791533947, 0.0012267924612388015]"
64,32,1,0.0001,64,1000,0.13627512753009796,"[-0.996772050857544, -1.002455234527588, -0.9916785955429077, -35.38274002075195, 0.0058352588675916195, -0.0123279495164752, -0.7425776720046997, -1.0090415477752686]","[0.46737930178642273, 0.46601372957229614, 0.4659307897090912, 6.947084903717041, 0.46939924359321594, 0.46214064955711365, 0.3525415360927582, 0.46372154355049133]","[0.07522514462471008, 0.10558907687664032, 0.01702466979622841, 0.8092064261436462, 0.010417211800813675, 0.013812818564474583, 0.05884392559528351, 8.174958929885179e-05]"
64,32,1,0.0001,128,1000,0.11761469393968582,"[-0.9953638911247253, -1.0042346715927124, -0.9989365339279175, -35.46933364868164, 0.007981749251484871, -0.009459104388952255, -0.7425426840782166, -1.0136263370513916]","[0.46853742003440857, 0.4752628207206726, 0.4668087363243103, 7.077873229980469, 0.4689948558807373, 0.4619092643260956, 0.35023918747901917, 0.4644358158111572]","[0.07445468753576279, 0.10443580895662308, 0.018971359357237816, 0.6609127521514893, 0.009983657859265804, 0.013146709650754929, 0.058826953172683716, 0.00018567706865724176]"
